country,year,gdp_per_capita,life_expectancy
BHS,2015,30719.405417469,73.805
BHS,2016,30616.5363157284,74.042
BHS,2017,31875.4881749619,74.031
BHS,2018,32642.3353203452,74.062
BHS,2019,33640.3369861278,71.408
BHS,2020,26178.7537607708,72.994
BHS,2021,30367.8605757708,70.752
BHS,2022,34957.1613279737,74.491
BHS,2023,38231.774484278,74.552
BHR,2015,23734.0551143019,80.338
BHR,2016,23800.001440631,80.407
BHR,2017,24784.7693514607,80.407
BHR,2018,26324.4066549559,80.412
BHR,2019,27259.7438599327,80.471
BHR,2020,24342.8444554718,78.683
BHR,2021,27147.8083882286,78.083
BHR,2022,30470.5219276023,80.992
BHR,2023,29290.1284215098,81.284
BGD,2015,1224.38647668165,70.543
BGD,2016,1649.28380858601,71.075
BGD,2017,1811.08221668646,71.606
BGD,2018,1965.24372731467,72.122
BGD,2019,2129.79896954606,72.625
BGD,2020,2248.85078828233,71.421
BGD,2021,2482.84917843357,71.103
BGD,2022,2716.48592780431,74.265
BGD,2023,2551.01773827307,74.672
BRB,2015,18954.2913724506,76.055
BRB,2016,19065.8069800213,76.168
BRB,2017,19692.7606711615,76.237
BRB,2018,20055.915870771,76.378
BRB,2019,20583.7265786414,76.495
BRB,2020,18347.1109131055,76.647
BRB,2021,18696.7858952957,76.58
BRB,2022,22164.0260273876,75.676
BRB,2023,23804.0249914995,76.178
BLR,2015,5967.05595058777,73.6243902439025
BLR,2016,5039.77560949445,73.8268292682927
BLR,2017,5785.54491935194,74.1292682926829
BLR,2018,6360.037502312,74.1756097560976
BLR,2019,6837.77339645635,74.2268292682927
BLR,2020,6542.85579976768,72.1385609756098
BLR,2021,7489.71894713888,72.0714634146342
BLR,2022,7994.64806074889,74.1033658536585
BLR,2023,7896.75388295584,74.1837804878049
BEL,2015,40893.804537772,80.9926829268293
BEL,2016,41854.5498296444,81.4390243902439
BEL,2017,44035.3239358548,81.4926829268293
BEL,2018,47487.2100392561,81.5951219512195
BEL,2019,46716.6227467964,81.9951219512195
BEL,2020,45906.2875805246,80.6951219512195
