,,gdp_per_capita,health_exp_gdp,life_expectancy,infant_mortality,population
LCN,2016,8460.65543617298,7.85001136183537,74.6774848833781,15.8,624737786.0
LCN,2017,9308.69617088017,8.05270770790965,74.8318087892113,15.2,630414986.0
LCN,2018,9032.03848276062,7.92292985727274,75.052717198381,14.9,635778081.0
LCN,2019,8830.22782156102,7.94062069306511,75.2042598654921,14.6,640962372.0
LCN,2020,7445.29645309345,8.38374816425483,73.188934023043,14.3,645497651.0
LCN,2021,8597.53194021339,8.23371799180171,71.8141668022872,14.1,649234493.0
LCN,2022,9716.03266743823,7.90136984174411,74.647198943632,13.8,653104795.0
LCN,2023,10838.827948659,,75.6435293327332,13.5,657617663.0
LCN,2024,11044.6796556507,,,,662185950.0
LAC,2015,8307.33369621788,7.79946436435624,74.5553955667316,15.7977820988667,551075145.0
LAC,2016,7975.72164827005,7.83703135797356,74.5306460760941,15.8279420916708,556440282.0
LAC,2017,8811.13555430764,8.02736355029074,74.7006534427421,15.1106075883306,561957179.0
LAC,2018,8468.20128438484,7.86565597108048,74.8906731016397,14.7679407872851,567711159.0
LAC,2019,8266.47471229954,7.86937860881447,75.0513524613511,14.4913290901461,573311679.0
LAC,2020,6892.38171560913,8.2876438164754,72.8759217271338,14.2127372030552,578091505.0
LAC,2021,7955.36133413771,8.13535309612735,71.4377016432982,13.9215782793868,581884231.0
LAC,2022,9093.65274220086,7.78984926933923,74.4897262626476,13.6510686282049,585648822.0
LAC,2023,10166.928671097,,75.4986013301866,13.3682618891253,589889543.0
LAC,2024,10344.66889924,,,,594158638.0
TLA,2015,8616.95753415631,7.71392397702556,74.6505904118153,15.6979020474724,603091701.0
TLA,2016,8301.80532535391,7.77229179740507,74.5894794269073,15.974321307192,609017063.0
TLA,2017,9163.64829375482,7.99391671547718,74.7614101353626,15.3161494186166,614776664.0
TLA,2018,8875.74361403055,7.86841690783668,74.9760978010797,14.9730038361273,620274430.0
TLA,2019,8654.9472124286,7.88279184821226,75.1319711493442,14.6886102237351,625467307.0
TLA,2020,7240.29672376392,8.28411032814084,73.0747493617473,14.4187896982468,630051021.0
TLA,2021,8382.42554035091,8.23664334209078,71.7449274626405,14.1464722886566,633862610.0
TLA,2022,9482.77639942335,7.90302350490199,74.5684293540859,13.8758102791969,637837815.0
TLA,2023,10593.1164302324,,75.5699258379688,13.6285676732373,642397939.0
TLA,2024,10784.3171528207,,,,647003746.0
LDC,2015,970.916596442798,4.20106038220469,63.3049002618176,50.25202219685,962508256.0
LDC,2016,963.946548212228,4.12616034681086,63.7237270680356,48.9503544372124,985414939.0
LDC,2017,1030.33002221326,3.97193465411109,64.0339755156235,47.9454329909933,1008993468.0
LDC,2018,1072.37486063383,3.82317805543959,64.6022757660127,45.5085858986774,1033110314.0
LDC,2019,1104.18633151052,3.75795579426461,64.9724534415541,44.3125367635008,1058013514.0
LDC,2020,1088.70490856513,3.89338014156628,64.8323585417323,42.8731198848264,1083636132.0
LDC,2021,1161.529354921,3.98524780059738,64.267342334044,41.9477612359959,1109175268.0
LDC,2022,1273.78979194705,3.86908075861082,65.7631857632163,41.9506230406724,1134585604.0
LDC,2023,1220.23843928653,,66.5161002597788,39.6616837734436,1160824674.0
LDC,2024,1258.9400116614,,,,1187777591.0
LMY,2015,4282.04601624269,5.22505390292291,70.367705276385,34.5874793305239,5941372154.0
LMY,2016,4269.77006692862,5.24327869073161,70.6061841961247,33.4799803925393,6017298320.0
LMY,2017,4607.31736311311,5.24509607852903,70.8082905151177,32.6210805847341,6094196886.0
LMY,2018,4846.86334479652,5.19056041528478,71.1345010717806,31.9909093598889,6169917356.0
LMY,2019,4904.42291649615,5.24723489045115,71.3698556147386,31.2901423668018,6243849229.0
LMY,2020,4698.5175297673,5.50648181410466,70.7486800091755,30.9592983669989,6314223170.0
LMY,2021,5485.92472057214,5.43628957876351,69.6717843895896,30.5311414233056,6378645843.0
LMY,2022,5702.28344160279,5.28070740290848,71.6852818823469,30.3477935620875,6438272260.0
LMY,2023,5819.84086254913,,71.9740048771462,29.3326473183927,6499219471.0
LMY,2024,5974.80452228263,,,,6563719861.0
LIC,2015,736.645564029793,5.53510622621802,60.9921347017928,54.2,488308267.0
LIC,2016,630.769855946827,5.75489531950565,61.4016938292427,53.0,501149314.0
LIC,2017,635.47544942083,5.5883780884434,61.5795083857409,52.2,514890519.0
LIC,2018,647.163397218355,5.26055058483896,62.3399876414984,49.2,529522043.0
LIC,2019,654.940947912545,5.24828447429705,62.7974465200669,47.9,544980983.0
LIC,2020,607.964753680008,5.82017896388899,62.8180995019214,46.3,560643073.0
LIC,2021,643.369305022958,5.78697302683995,62.3799887227483,45.3,576076618.0
LIC,2022,723.504638939919,5.70982778826442,63.4583102800447,45.8,591481496.0
LIC,2023,697.171191535478,,64.5178957936853,42.8,607774703.0
LIC,2024,746.934788844338,,,,624608098.0
LMC,2015,1843.92245982702,3.93936124255831,67.3495071977304,41.8,2765011526.0
LMC,2016,1892.70524039558,3.89863013555118,67.679193904199,40.5,2806590212.0
LMC,2017,2019.49853982875,3.59641856827063,67.9952915350318,39.3,2847931114.0
LMC,2018,2078.75738872105,3.48004617017935,68.2810033644819,38.0,2888561818.0
LMC,2019,2153.95427108494,3.54548655156744,68.5574256254118,36.8,2928617292.0
LMC,2020,2058.43459982702,3.82557700475676,68.040356336938,35.6,2968398856.0
LMC,2021,2302.44736874388,3.96645501282719,66.3662902978306,34.6,3006243027.0
LMC,2022,2424.15054696003,3.89208323319219,69.3010946755529,33.5,3043358377.0
LMC,2023,2443.40827649123,,69.5963746571515,32.6,3082002881.0
LMC,2024,2517.63261211924,,,,3120983658.0
MEA,2015,5108.83117786409,5.27362664734617,70.1511049169228,21.2,694232973.0
MEA,2016,5080.74067722357,5.58848769475843,70.4289278068118,20.5,707023525.0
MEA,2017,5232.29631554928,5.51634938597492,70.7097575308251,20.1,718887744.0
MEA,2018,5509.55913785523,5.24782297038862,70.9403213532696,19.8,730362334.0
MEA,2019,5371.48987165166,5.1967057199658,71.2438695042576,19.4,742714463.0
MEA,2020,4707.81986084887,5.79883576129704,69.9110789555644,19.0,756405281.0
MEA,2021,5575.27298626728,5.51406133568945,69.7113193479505,18.6,767578451.0
MEA,2022,6383.39839256713,4.77770057338766,71.6918319737772,18.1,782349366.0
MEA,2023,6063.05247657864,,72.0839412410497,17.8,797801454.0
MEA,2024,6180.85878446824,,,,813118814.0
MNA,2015,2802.63134980934,5.3744314967733,69.2873263613117,41.4766400770653,635352686.0
MNA,2016,2832.83052598,5.68857426475213,69.5328376363007,40.3161305967128,645837915.0
MNA,2017,2827.77247042523,5.62709939003483,69.8141316373328,39.3355861159403,656767614.0
MNA,2018,2789.82637461637,5.39176326306892,70.0733668958653,38.732410112487,668447432.0
MNA,2019,2674.37046083008,5.05956814371892,70.417484585256,37.9433751397736,680490997.0
MNA,2020,2381.42542469934,5.06689821689,69.0506342866219,36.9738972040549,692532027.0
MNA,2021,2719.53126773593,5.06053293001311,68.9280214782653,36.111580347842,704458802.0
MNA,2022,2975.95566292741,4.66238097726895,71.0055315443397,35.1385328983309,716508657.0
MNA,2023,2797.40730719316,,71.2758849884582,34.1207734088251,729077445.0
MNA,2024,2903.59793979158,,,,741690916.0
TMN,2015,2799.45441811562,5.3435056476725,69.2515348606398,41.6942590967163,631082594.0
TMN,2016,2828.10049044876,5.6604203608633,69.4961826399098,40.5324420046715,641470827.0
TMN,2017,2822.35969144684,5.59648039795035,69.7772409464567,39.5470671786103,652312809.0
TMN,2018,2784.50967675137,5.35421535494765,70.0368444388331,38.9459677209249,663878345.0
TMN,2019,2667.55895258895,5.01987040853924,70.3800917806817,38.1549611623357,675805691.0
TMN,2020,2375.4738441756,5.01675275494453,69.0090964026373,37.1789755952984,687728758.0
TMN,2021,2712.78189413176,5.00871922352969,68.893103228232,36.3124355800439,699536053.0
TMN,2022,2970.11428767476,4.61587067886576,70.965432550888,35.3341433369107,711465045.0
TMN,2023,2792.71457545742,,71.3194560888195,34.2896652390574,723911670.0
TMN,2024,2905.83377209255,,,,736401764.0
MIC,2015,4599.80845420887,5.22101967538776,71.2072642315496,31.014492062429,5453063887.0
MIC,2016,4600.22936847744,5.23735171318806,71.4424241214902,29.8504061385382,5516149006.0
MIC,2017,4973.53707967724,5.24132788094364,71.6599756723334,28.8424158534458,5579306367.0
